Count,ReleaseTime,Country,Industry,Client,Circuits
213,0.208333333336,74,1,45781,2043
147,0.25,74,1,45781,2043
4,0.666666666664,74,1,45781,2043
209,0.208333333336,74,1,45781,2043
60,0.25,74,1,45781,2043
8,0.666666666664,74,1,45781,2043
312,0.833333333336,74,1,45781,2043
84,0.875,74,1,45781,2043
17,0.291666666664,74,1,45781,2043
222,0.208333333336,74,1,45781,2043
127,0.25,74,1,45781,2043
1,0.666666666664,74,1,45781,2043
217,0.208333333336,74,1,45781,2043
59,0.25,74,1,45781,2043
5,0.708333333336,74,1,45781,2043
305,0.208333333336,74,1,45781,2043
103,0.25,74,1,45781,2043
2,0.666666666664,74,1,45781,2043
395,0.25,74,1,45781,2043
190,0.291666666664,74,1,45781,2043
25,0.708333333336,74,1,45781,2043
333,0.208333333336,74,1,45781,2043
119,0.25,74,1,45781,2043
3,0.666666666664,74,1,45781,2043
235,0.208333333336,74,1,45781,2043
167,0.25,74,1,45781,2043
12,0.666666666664,74,1,45781,2043
233,0.208333333336,74,1,45781,2043
122,0.25,74,1,45781,2043
7,0.666666666664,74,1,45781,2043
299,0.875,74,1,45781,2043
290,0.916666666664,74,1,45781,2043
11,0.416666666664,74,1,45781,2043
178,0.666666666664,74,1,45781,2043
37,0.708333333336,74,1,45781,2043
1,0.125,74,1,45781,2043
230,0.208333333336,74,1,55901,2149
64,0.25,74,1,55901,2149
4,0.708333333336,74,1,55901,2149
202,0.625,74,1,55901,2149
21,0.666666666664,74,1,55901,2149
2,0.125,74,1,55901,2149
273,0.208333333336,74,1,45781,2043
93,0.25,74,1,45781,2043
2,0.666666666664,74,1,45781,2043
234,0.208333333336,74,1,45781,2043
99,0.25,74,1,45781,2043
7,0.666666666664,74,1,45781,2043
97,0.5,74,1,45781,2043
82,0.541666666664,74,1,45781,2043
12,0.958333333336,74,1,45781,2043
208,0.708333333336,74,1,45781,2043
88,0.75,74,1,45781,2043
9,0.166666666664,74,1,45781,2043
278,0.25,74,1,45781,2043
113,0.291666666664,74,1,45781,2043
1,0.708333333336,74,1,45781,2043
353,0.25,74,1,45781,2043
160,0.291666666664,74,1,45781,2043
4,0.708333333336,74,1,45781,2043
272,0.25,74,1,45781,2043
48,0.291666666664,74,1,45781,2043
5,0.708333333336,74,1,45781,2043
210,0.666666666664,74,1,55901,2149
56,0.708333333336,74,1,55901,2149
7,0.208333333336,74,1,55901,2149
139,0.333333333336,74,1,45781,2043
55,0.375,74,1,45781,2043
1,0.791666666664,74,1,45781,2043
85,0.291666666664,74,1,45781,2043
72,0.333333333336,74,1,45781,2043
4,0.75,74,1,45781,2043
67,0.333333333336,74,1,45781,2043
68,0.375,74,1,45781,2043
1,0.958333333336,74,1,45781,2043
255,0.25,74,1,45781,2043
82,0.291666666664,74,1,45781,2043
13,0.708333333336,74,1,45781,2043
170,0.666666666664,74,1,55901,2149
39,0.708333333336,74,1,55901,2149
3,0.166666666664,74,1,55901,2149
250,0.25,74,1,45781,2043
69,0.291666666664,74,1,45781,2043
9,0.708333333336,74,1,45781,2043
252,0.25,74,1,45781,2043
115,0.291666666664,74,1,45781,2043
9,0.708333333336,74,1,45781,2043
224,0.666666666664,74,1,55901,2149
156,0.708333333336,74,1,55901,2149
1,0.125,74,1,55901,2149
318,0.25,74,1,45781,2043
180,0.291666666664,74,1,45781,2043
65,0.708333333336,74,1,45781,2043
113,0.666666666664,74,1,55901,2149
44,0.708333333336,74,1,55901,2149
6,0.208333333336,74,1,55901,2149
62,0.666666666664,74,1,55901,2149
98,0.708333333336,74,1,55901,2149
2,0.166666666664,74,1,55901,2149
331,0.25,74,1,45781,2043
374,0.291666666664,74,1,45781,2043
260,0.708333333336,74,1,45781,2043
330,0.25,74,1,45781,2043
147,0.291666666664,74,1,45781,2043
63,0.708333333336,74,1,45781,2043
240,0.25,74,1,45781,2043
115,0.291666666664,74,1,45781,2043
38,0.708333333336,74,1,45781,2043
25,0.666666666664,74,1,55901,2149
58,0.708333333336,74,1,55901,2149
2,0.166666666664,74,1,55901,2149
190,0.25,74,1,45781,2043
46,0.291666666664,74,1,45781,2043
